column,role,dtype,unit,source,formula,availability_rule,missingness_handling
issue_timestamp_utc,identifier,"datetime64[us, UTC]",UTC timestamp,model row,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Timestamps remain null; matching availability flags are zero.
target_timestamp_utc,identifier,"datetime64[us, UTC]",UTC timestamp,model row,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Timestamps remain null; matching availability flags are zero.
forecast_horizon_minutes,identifier,int64,ratio or unitless,model row,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_forecast_published_at_utc,feature,"datetime64[us, UTC]",UTC timestamp,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Timestamps remain null; matching availability flags are zero.
weather_forecast_run_initialized_at_utc,feature,"datetime64[us, UTC]",UTC timestamp,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Timestamps remain null; matching availability flags are zero.
weather_forecast_source_available_flag,feature,int64,count,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_forecast_age_hours,feature,float64,hours,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_region_coverage_ratio,feature,float64,ratio or unitless,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_solar_region_coverage_ratio,feature,float64,ratio or unitless,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
weather_wind_weighted_speed_100m_mps,feature,float64,m/s,Open-Meteo ECMWF IFS single-run archive,See docs/REGIONAL_WEATHER_SIGNALS.md.,Newest regional run conservatively available by issue time; errors require the delayed analysis proxy to be available.,Null for unavailable values; explicit regional/source flags are provided.
