column,role,unit,formula,source,availability_rule,missingness_handling,dtype
issue_timestamp_utc,identifier,UTC timestamp,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
target_timestamp_utc,identifier,UTC timestamp,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
forecast_horizon_minutes,identifier,minutes,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int64
aggregated_pn_end_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
aggregated_pn_end_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[s, UTC]"
aggregated_pn_end_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
aggregated_pn_end_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
aggregated_pn_end_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
aggregated_pn_start_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
aggregated_pn_start_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[s, UTC]"
aggregated_pn_start_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
aggregated_pn_start_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
aggregated_pn_start_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
demand_forecast_mw_all,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
demand_forecast_mw_all_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
demand_forecast_mw_all_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
demand_forecast_mw_all_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
demand_forecast_mw_all_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
demand_forecast_mw_ni,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
demand_forecast_mw_ni_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
demand_forecast_mw_ni_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
demand_forecast_mw_ni_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
demand_forecast_mw_ni_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
demand_forecast_mw_roi,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
demand_forecast_mw_roi_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
demand_forecast_mw_roi_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
demand_forecast_mw_roi_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
demand_forecast_mw_roi_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_calculated_imbalance_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_calculated_imbalance_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
forecast_calculated_imbalance_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_calculated_imbalance_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_calculated_imbalance_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_net_interconnector_schedule_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_net_interconnector_schedule_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
forecast_net_interconnector_schedule_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_net_interconnector_schedule_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_net_interconnector_schedule_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_renewable_dispatchable_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_renewable_dispatchable_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
forecast_renewable_dispatchable_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_renewable_dispatchable_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_renewable_dispatchable_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_renewable_nondispatchable_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_renewable_nondispatchable_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
forecast_renewable_nondispatchable_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_renewable_nondispatchable_mw_available_flag,availability_or_quality,integer,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_renewable_nondispatchable_mw_stale_flag,availability_or_quality,integer,1 when missing or older than the documented threshold,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,int8
forecast_total_pn_mw,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
forecast_total_pn_mw_published_at_utc,provenance,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,"datetime64[us, UTC]"
forecast_total_pn_mw_age_minutes,model_feature,MW,normalized SEMO field or its as-of availability metadata,SEMO static reports; completed-state fields use EirGrid history,publication and any actual interval end must be <= issue_timestamp_utc,retain null and use paired missing/availability/staleness flag,float64
