column,role,dtype,unit,source,formula,availability_rule,missingness_handling
issue_timestamp_utc,identifier,"datetime64[us, UTC]",UTC timestamp,model row,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Always present in the modelling key.,Timestamp stays null; availability flag is zero.
target_timestamp_utc,identifier,"datetime64[us, UTC]",UTC timestamp,model row,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Always present in the modelling key.,Timestamp stays null; availability flag is zero.
forecast_horizon_minutes,identifier,int64,unitless,model row,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Always present in the modelling key.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_snapshot_published_at_utc,feature,"datetime64[us, UTC]",UTC timestamp,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Timestamp stays null; availability flag is zero.
generation_source_available_flag,feature,int64,count,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
generation_snapshot_age_hours,feature,float64,hours,EirGrid All-Island Generation Outage Plan,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest generation-plan snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_snapshot_published_at_utc,feature,"datetime64[us, UTC]",UTC timestamp,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Timestamp stays null; availability flag is zero.
transmission_source_available_flag,feature,int64,count,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
transmission_snapshot_age_hours,feature,float64,hours,EirGrid Transmission Outage Programme,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest transmission snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_snapshot_published_at_utc,feature,datetime64[s],UTC timestamp,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Timestamp stays null; availability flag is zero.
ecp_source_available_flag,feature,int64,count,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
ecp_snapshot_age_hours,feature,float64,hours,EirGrid ECP constraint forecast workbook,See docs/OUTAGE_CONSTRAINT_SIGNALS.md.,Newest ECP snapshot published no later than issue time.,Null when no eligible publication exists; availability flag distinguishes unknown from zero.
