column,role,unit,formula,source,availability_rule,missingness_handling,dtype
target_timestamp_utc,identifier,UTC timestamp,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
issue_timestamp_utc,identifier,UTC timestamp,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
forecast_horizon_minutes,identifier,minutes,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
demand_forecast_mw_all,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_mw_all_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
demand_forecast_mw_all_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
demand_forecast_mw_all_age_minutes,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_mw_all_available_flag,quality_or_availability,integer,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,int64
demand_forecast_mw_ni,model_feature,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,float64
demand_forecast_mw_ni_published_at_utc,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,timestamp must be <= issue time,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,"datetime64[us, UTC]"
demand_forecast_mw_ni_source_id,provenance,MW,carried through from its named source field,as-of forecast matrix or EirGrid history,available at issue time or explicitly marked missing,retain null and use paired missing/availability flag; fitted pipeline median-imputes numeric inputs,str
